id_ocupacao,descricao
273,Cantor e compositor
255,Psicólogo
272,"Ator, diretor de espetáculos"
116,"Servidor das demais carreiras da administração pública direta, autárquica e fundacional"
0,Sem ocupações
265,"Bibliotecário, documentalista, arquivólogo, museólogo"
214,"Engenheiro, arquiteto e afins"
228,"Veterinário, patologista (veterinário) e zootecnista"
276,"Cenógrafo, decorador de interiores"
290,Professor na educação infantil
391,Outros técnicos de nível médio
110,"Advogado do setor público, Procurador da Fazenda, Consultor Jurídico, Procurador de autarquias e fundações públicas, Defensor Público"
121,Presidente e diretor de empresa pública e sociedade de economia mista
102,"Membro do Poder Judiciário (Ministro, Juiz e Desembargador) e de Tribunal de Contas (Ministro e Conselheiro)"
232,Terapeuta ocupacional (a partir do ano-calendário 2024)
256,Geógrafo
900,Trabalhador de reparação e manutenção
291,Professor do ensino fundamental
294,Professor do ensino superior
109,"Servidor das carreiras do Poder Judiciário, Oficial de Justiça, Auxiliar, Assistente e Analista Judiciário"
375,Decorador e vitrinista
317,Técnico em informática
251,Antropólogo e arqueólogo
319,"Outros técnicos de nível médio das ciências físicas, químicas, engenharia e afins"
324,"Técnico de laboratório, Raios-X e outros equipamentos e instrumentos de diagnóstico"
10,Militar da Aeronáutica
108,Servidor das carreiras do Ministério Público
227,"Enfermeiro de nível superior, nutricionista, farmacêutico e afins"
352,"Técnico de inspeção, fiscalização e coordenação administrativa"
250,Sociólogo e cientista político
313,Técnico em eletro-eletrônica e fotônica
316,Técnico em mineralogia e geologia
373,Técnico em operação de estações de rádio e televisão
830,Trabalhador de instalações e máquinas de fabricação de celulose e papel
140,"Presidente, diretor, gerente e supervisor de organismo internacional e de organização não-governamental"
225,Médico
770,Trabalhador das indústrias de madeira e do mobiliário
780,"Condutor e operador de robôs, veículos de equipamentos de movimentação de carga e afins"
131,Gerente ou supervisor de empresa pública e sociedade de economia mista
529,"Vendedor e prestador de serviços do comércio, ambulante, caixeiro-viajante e camelô"
720,Trabalhador da transformação de metais e compósitos
230,Fonoaudiólogo (a partir do ano-calendário 2024)
275,"Desenhista industrial (designer), escultor, pintor artístico e afins"
101,"Membro do Poder Executivo (Presidente da República, Vice-Presidente da República, Ministro de Estado, Governador, Vice-Governador, Prefeito, Vice-Prefeito"
118,"Dirigente ou administrador de partido político, organização patronal, sindical, filantrópica e religiosa"
254,Psicanalista
259,Filósofo
312,"Técnico em construção civil, de edificações e obras de infra-estrutura"
354,"Agente e representante comercial, corretor, leiloeiro e afins"
293,Professor do ensino profissional
20,Militar do Exército
514,"Trabalhador dos serviços de administração, conservação e manutenção de edifícios"
103,"Membro do Poder Legislativo (Senador, Deputado Federal, Deputado Estadual e Vereador)"
107,Servidor das carreiras do Poder Legislativo
519,Outros trabalhadores de serviços diversos
760,"Trabalhador das indústrias têxteis, do curtimento, do vestuário e das artes gráficas"
113,"Delegado de Polícia e outros servidores das carreiras de polícia, exceto militar"
212,"Analista de sistemas, desenvolvedor de software, administrador de redes e bancos de dados e outros especialistas em informática (exceto técnico)"
264,"Tradutor, intérprete, filólogo"
277,Empresário e produtor de espetáculos
314,Técnico em metalmecânica
810,"Trabalhador das indústrias química, petroquímica, borracha e plástico e afins"
120,"Dirigente, presidente e diretor de empresa industrial, comercial ou prestadora de serviços"
261,Jornalista e repórter
321,Técnico da produção agropecuária
351,Técnico das ciências administrativas e contábeis
50,Bombeiro Militar
130,"Gerente ou supervisor de empresa industrial, comercial ou prestadora de serviços"
279,Outros profissionais do espetáculo e das artes
353,"Agente de Bolsa de Valores, câmbio e outros serviços financeiros"
516,Trabalhador dos serviços de embelezamento e cuidados pessoais
257,Historiador
640,Operador de máquina agropecuária e florestal
112,"Servidor das carreiras do Banco Central, CVM e Susep"
,
296,"Pedagogo, orientador educacional"
371,Técnico de serviços culturais
620,Trabalhador na exploração agropecuária
840,"Trabalhador da fabricação de alimentos, bebidas, fumo e de agroindústrias"
258,Assistente social e economista doméstico
320,Técnico em biologia
740,Montador de aparelhos e instrumentos de precisão e musicais
512,Trabalhador dos serviços domésticos em geral
870,Trabalhador de outras instalações agroindustriais
106,Diplomata e afins
114,"Servidor das carreiras de gestão governamental, analista, gestor e técnico de planejamento"
229,"Fonoaudiólogo, fisioterapeuta, terapeuta ocupacional e afins (até o ano-calendário 2023)"
515,Trabalhador dos serviços de saúde
610,Produtor na exploração agropecuária
292,Professor do ensino médio
410,"Bancário, economiário, escriturário, secretário, assistente e auxiliar administrativo"
518,"Motorista e condutor do transporte de passageiros (motorista de taxi, ônibus, pequena embarcação etc)"
730,Trabalhador da fabricação e instalação eletro-eletrônica
274,"Músico, arranjador, regente de orquestra ou coral"
328,"Técnico de conservação, dissecação e empalhamento de corpos"
372,"Cinegrafista, fotógrafo e outros técnicos em operação de máquinas de tratamento de dados"
511,"Comissário de bordo, guia de turismo, agente de viagem e afins"
30,Militar da Marinha
322,Técnico da ciência da saúde humana
226,Odontólogo
111,Servidor das carreiras de auditoria fiscal e de fiscalização
211,"Matemático, estatístico, atuário e afins"
860,Operador de instalações de produção e distribuição de energia
323,Técnico da ciência da saúde animal
224,Profissional da educação física (exceto professor)
374,"Técnico em operação de aparelhos de sonorização, cenografia e projeção"
420,"Trabalhador de atendimento ao público, caixa, despachante, recenseador e afins"
630,"Pescador, caçador e extrativista florestal"
517,Trabalhador dos serviços de proteção e segurança (exceto militar)
215,"Piloto de aeronaves, comandante de embarcações e oficiais de máquinas"
253,"Profissional de marketing, de publicidade e de comercialização"
318,Desenhista técnico e modelista
377,"Atleta, desportista e afins"
40,Policial Militar
105,"Dirigente superior da administração pública (ocupante de cargo de direção, chefia, assessoria e de natureza especial), inclusive os das fundações públicas e autarquias"
115,Servidor das carreiras de ciência e tecnologia
117,Titular de Cartório
241,Advogado
213,"Físico, químico, meteorologista, geólogo, oceanógrafo e afins"
222,Agrônomo e afins
252,"Economista, administrador, contador, auditor e afins"
266,"Escritor, crítico, redator"
513,Trabalhador dos serviços de hotelaria e alimentação
104,Membro do Ministério Público (Procurador e Promotor)
221,"Biólogo, biomédico e afins"
263,Sacerdote ou membro de ordens ou seitas religiosas
325,Técnico de bioquímica e da biotecnologia
710,Trabalhador da indústria extrativa e da construção civil
295,Instrutor e professor de escolas livres
750,"Joalheiro, vidreiro, ceramista e afins"
271,"Locutor, comentarista"
311,Técnico em ciências físicas e químicas
355,Corretor e Administrador de Imóveis
820,Trabalhador de instalações siderúrgicas e de materiais de construção
231,Fisioterapeuta (a partir do ano-calendário 2024)
376,"Apresentador, artistas de artes populares e modelos"